year,CPI_All_Items,CPI_Energy,CPI_Food,CPI_Rent_Primary,CPI_Shelter,geo,fips,30yr_Fixed_Mortgage_Rate,Homeownership_Rate,Median_Home_Sale_Price,Personal_Savings_Rate,Real_Median_Personal_Income
2016,240.007,189.535,247.931,296.82,288.23,national,00000,3.6540384615384616,63.4,305125.0,5.358333333333333,39700.0
2017,245.12,204.54,250.065,308.143,297.803,national,00000,3.9898076923076924,63.85,322425.0,5.758333333333333,40100.0
2018,251.107,219.941,253.558,319.289,307.663,national,00000,4.544615384615384,64.425,325275.0,6.433333333333334,41460.0
2019,255.657,215.294,258.316,331.124,318.053,national,00000,3.935769230769231,64.55,320250.0,7.308333333333334,43600.0
2020,258.811,196.949,267.219,341.468,325.886,national,00000,3.111698113207547,66.6,328150.0,15.091666666666667,43010.0
2021,270.97,238.325,277.756,349.135,334.575,national,00000,2.957692307692308,65.475,383000.0,11.325000000000001,43080.0
2022,292.655,298.266,305.388,370.199,354.235,national,00000,5.344038461538461,65.775,432950.0,3.35,43150.0
2023,304.702,283.286,322.965,399.643,380.643,national,00000,6.806730769230769,65.9,426525.0,5.591666666666666,43310.0
2024,313.689,279.544,330.263,420.06,400.561,national,00000,6.721153846153846,65.625,418975.0,5.433333333333334,45140.0
2025,321.943,279.353,339.512,434.889,415.164,national,00000,6.595094339622642,65.275,413650.0,4.633333333333334,
2026,,,,,,national,00000,6.071,,,4.5,
